booking_id,airline,travel_year,travel_month,lead_time,adults,children,infants,country,agent,corporate_account,cabin_class,fare,is_cancelled,booking_channel,reservation_status,reservation_status_date,checked_bags,seat_changes
AL508854,Air India,2025,December,88,1,0,0,ARE,,,Premium Economy,15463.67,0,Corporate Desk,Check-Out,2025-12-27,0,2
AL515931,SpiceJet,2024,March,69,1,0,0,AUS,,,Premium Economy,16015.58,1,Airport Counter,Canceled,2024-03-12,3,1
AL514177,AirAsia India,2026,May,49,2,0,0,SGP,,,Economy,11955.12,0,Travel Agent,Check-Out,2026-06-20,2,2
AL509664,AirAsia India,2026,December,64,1,0,0,,,,Economy,9692.1,0,Corporate Desk,Check-Out,2027-01-07,3,0
AL507581,Vistara,2026,November,52,1,0,1,GBR,158,,Economy,9936.89,0,Mobile App,Check-Out,2026-11-24,3,2
AL506490,IndiGo,2026,December,136,2,0,0,NPL,152,,First,NA,0,Mobile App,Check-Out,2026-12-17,0,1
AL511263,SpiceJet,2025,April,19,2,0,0,SGP,10,,Premium Economy,11792.65,0,Airport Counter,Check-Out,2025-04-19,3,0
AL504200,Vistara,2024,October,134,1,0,0,IND,268,,Economy,12233.51,0,Website,No-Show,2024-11-12,1,2
AL508463,Air India,2025,February,69,1,0,0,AUS,,,Economy,3416.86,0,Corporate Desk,Check-Out,2025-03-22,2,0
AL510439,Vistara,2024,March,110,2,0,0,USA,213,,Premium Economy,10136.75,0,Website,Check-Out,2024-04-22,2,1
AL510884,IndiGo,2026,July,72,1,0,0,IND,197,,Premium Economy,12377.16,1,Website,Canceled,2026-08-25,2,1
AL503753,IndiGo,2024,June,39,1,0,0,AUS,,,Economy,10706.28,0,Travel Agent,Check-Out,2024-06-29,2,0
AL513513,Air India,2024,May,17,2,0,0,,281,,Economy,7431.87,0,Corporate Desk,Check-Out,2024-07-02,1,0
AL504315,Akasa Air,2026,September,122,1,0,0,IND,,,Economy,5303.14,0,Travel Agent,Check-Out,2026-10-24,0,1
AL506393,Akasa Air,2026,September,25,2,0,0,IND,167,,Economy,8719.86,0,Mobile App,No-Show,2026-10-08,0,1
AL506920,IndiGo,2026,June,93,2,0,0,,119,,Economy,9086.15,0,Travel Agent,Check-Out,2026-07-19,2,2
AL501920,Vistara,2025,March,68,1,0,0,THA,2,,Economy,7865.29,0,Corporate Desk,Check-Out,2025-03-31,2,2
AL501977,AirAsia India,2024,September,44,1,0,0,THA,56,,Economy,9377.05,0,Corporate Desk,No-Show,2024-09-24,3,0
AL507314,Air India,2025,May,51,1,0,0,IND,130,,Business,19139.6,0,Corporate Desk,Check-Out,2025-05-10,0,2
AL500384,AirAsia India,2024,July,113,1,0,0,,186,,Economy,6988.79,1,Website,Canceled,2024-08-17,2,0
AL504544,Air India,2024,May,66,1,0,0,IND,315,,Economy,7713.32,0,Mobile App,Check-Out,2024-06-20,3,2
AL504295,AirAsia India,2024,August,78,1,0,0,IND,28,,Economy,10037.08,0,Airport Counter,Check-Out,2024-09-16,2,1
AL511668,IndiGo,2024,May,84,2,0,0,ARE,104,,Economy,8732.47,0,Website,Check-Out,2024-06-03,2,0
AL505642,Akasa Air,2025,February,125,2,0,0,MYS,279,,Economy,12593.54,0,Corporate Desk,Check-Out,2025-03-05,2,0
AL500348,Vistara,2024,September,15,2,0,0,IND,269,,Economy,6481.56,0,Airport Counter,Check-Out,2024-09-18,2,1
AL503059,SpiceJet,2024,December,61,1,0,0,GBR,53,,Economy,8609.66,1,Travel Agent,Canceled,2025-01-08,3,0
AL508266,Air India,2024,July,60,1,0,0,IND,190,,Business,34027.13,1,Airport Counter,Canceled,2024-08-10,1,0
AL514776,Vistara,2024,March,139,1,0,0,ARE,227,,Premium Economy,11978.67,0,Mobile App,Check-Out,2024-04-05,2,0
AL507396,Vistara,2026,February,92,1,0,0,IND,330,,Economy,7666.5,1,Airport Counter,Canceled,2026-03-12,1,2
AL507552,Akasa Air,2026,August,122,2,,0,DEU,252,,Economy,9502.58,0,Website,Check-Out,2026-08-18,3,2
AL504398,SpiceJet,2025,June,29,2,0,0,IND,,,Economy,10801.53,1,Corporate Desk,Canceled,2025-07-11,3,2
AL502349,Air India,2026,September,9,1,0,0,USA,309,C869,Economy,14988.72,0,Corporate Desk,Check-Out,2026-10-30,1,1
AL501285,Akasa Air,2024,November,58,2,3,0,GBR,206,,Economy,NA,0,Travel Agent,Check-Out,2024-11-12,2,1
AL511878,Akasa Air,2024,February,65,2,0,0,IND,54,,Premium Economy,11625.14,1,Corporate Desk,Canceled,2024-03-14,2,1
AL508119,IndiGo,2025,October,63,1,0,0,THA,190,,Premium Economy,17460.76,0,Travel Agent,Check-Out,2025-10-15,2,1
AL503787,Akasa Air,2025,January,47,2,2,0,ARE,180,,Economy,14567.46,0,Corporate Desk,Check-Out,2025-02-20,0,2
AL515072,Air India,2025,July,63,1,0,0,,258,,Economy,6949.47,0,Airport Counter,Check-Out,2025-07-16,1,1
AL500426,Air India,2025,December,73,1,0,0,ARE,263,,Premium Economy,18066.42,0,Corporate Desk,Check-Out,2025-12-25,0,1
AL502407,SpiceJet,2024,February,74,1,1,0,ARE,,,Economy,4069.07,0,Corporate Desk,Check-Out,2024-03-03,2,2
AL513596,Vistara,2026,April,104,2,0,0,USA,,,Economy,4588.8,0,Travel Agent,No-Show,2026-05-18,3,2
AL510901,Air India,2026,December,48,3,2,0,IND,,,Business,33497.6,0,Travel Agent,Check-Out,2026-12-13,3,0
AL510025,AirAsia India,2024,March,121,1,0,0,IND,239,,Economy,8905.71,0,Mobile App,Check-Out,2024-04-10,2,2
AL509387,SpiceJet,2025,January,64,1,0,0,AUS,89,,Premium Economy,14520.95,0,Corporate Desk,Check-Out,2025-01-01,2,1
AL505983,Vistara,2024,May,25,1,,0,IND,65,,Economy,8108.57,0,Mobile App,Check-Out,2024-05-19,0,0
AL503154,AirAsia India,2026,July,62,2,0,0,IND,48,,Economy,9689.14,1,Mobile App,Canceled,2026-08-03,0,1
AL507557,SpiceJet,2025,May,17,2,0,0,IND,,C519,Economy,7128.14,0,Airport Counter,Check-Out,2025-06-05,0,1
AL513353,Akasa Air,2024,November,96,1,0,0,SGP,224,,Economy,10288.81,0,Website,Check-Out,2024-11-30,1,2
AL512868,SpiceJet,2025,June,70,1,0,0,IND,87,,Economy,7101.57,0,Corporate Desk,Check-Out,2025-07-03,3,2
AL513738,Vistara,2025,December,30,2,0,0,DEU,103,,Economy,8329.48,1,Corporate Desk,Canceled,2025-12-31,3,0
AL511444,IndiGo,2026,October,122,2,0,0,ARE,,,Economy,3250.33,0,Mobile App,No-Show,2026-11-16,0,0
AL509852,AirAsia India,2024,November,106,1,0,0,ARE,139,,Business,33004.58,0,Travel Agent,Check-Out,2025-01-02,3,1
AL508058,Akasa Air,2025,January,118,4,0,0,THA,55,,Business,20380.71,0,Travel Agent,Check-Out,2025-02-01,2,0
AL503641,IndiGo,2024,October,45,1,0,0,QAT,222,,Business,43289.75,0,Corporate Desk,Check-Out,2024-10-25,0,0
AL511387,Air India,2024,May,22,1,0,0,MYS,87,,Premium Economy,10661.92,0,Mobile App,Check-Out,2024-06-26,3,2
AL508138,AirAsia India,2026,September,49,1,0,0,IND,219,,Economy,9258.32,0,Airport Counter,Check-Out,2026-10-07,2,2
AL501966,IndiGo,2026,June,47,1,1,1,IND,44,,Economy,8498.61,0,Mobile App,Check-Out,2026-07-08,3,2
AL504414,Vistara,2026,May,193,1,0,0,IND,,,First,46133.22,0,Mobile App,Check-Out,2026-06-29,2,2
AL503134,Akasa Air,2025,June,31,2,0,0,ARE,321,,Premium Economy,11629.65,0,Mobile App,Check-Out,2025-06-25,1,1
AL508232,SpiceJet,2026,March,37,2,1,0,,7,,Business,28513.77,0,Website,Check-Out,2026-03-24,2,1
AL511352,Vistara,2026,March,101,1,0,0,IND,44,,Economy,5741.71,0,Website,Check-Out,2026-03-26,2,1
AL507048,SpiceJet,2024,October,61,1,NA,0,IND,252,,Business,42825.82,1,Airport Counter,Canceled,2024-11-19,3,0
AL505011,Akasa Air,2026,November,221,1,0,0,THA,44,,Business,18617.5,0,Website,Check-Out,2026-12-03,3,1
AL509477,Akasa Air,2024,April,32,2,0,0,SGP,157,C251,Economy,9176.34,1,Mobile App,Canceled,2024-05-10,2,0
AL513825,Akasa Air,2026,August,36,1,1,0,MYS,52,,Business,41509.0,0,Mobile App,Check-Out,2026-09-15,1,2
AL504606,Akasa Air,2025,February,57,1,0,0,QAT,209,,Premium Economy,10301.4,0,Website,Check-Out,2025-02-23,1,0
AL505270,AirAsia India,2026,November,109,2,2,0,THA,310,,Economy,10395.84,0,Airport Counter,Check-Out,2026-12-22,0,2
AL515846,Akasa Air,2024,January,10,2,0,0,SGP,122,,Economy,NA,0,Mobile App,No-Show,2024-02-06,0,1
AL501228,Akasa Air,2026,June,23,2,0,0,QAT,,,Premium Economy,16810.92,1,Website,Canceled,2026-07-21,0,2
AL504101,Vistara,2025,May,39,1,0,0,GBR,175,,Premium Economy,7825.03,0,Airport Counter,Check-Out,2025-07-01,0,2
AL502055,SpiceJet,2025,March,42,1,0,0,ARE,197,,Economy,7625.95,0,Travel Agent,Check-Out,2025-04-16,0,1
AL512397,IndiGo,2024,June,25,2,0,0,THA,300,,Economy,9648.76,0,Travel Agent,No-Show,2024-07-01,3,1
AL509822,Air India,2025,May,74,4,0,0,USA,224,,Economy,8810.87,0,Travel Agent,Check-Out,2025-07-03,1,2
AL501967,Vistara,2026,July,76,2,0,0,LKA,308,,Economy,10381.31,0,Airport Counter,Check-Out,2026-08-13,2,2
AL505311,IndiGo,2025,April,160,1,0,0,GBR,252,C480,Premium Economy,23316.3,0,Corporate Desk,Check-Out,2025-05-04,0,0
AL514863,Air India,2025,February,8,1,0,1,USA,247,,Business,19485.5,0,Mobile App,Check-Out,2025-02-16,0,0
AL514229,Akasa Air,2024,January,35,1,0,0,IND,248,,Economy,7267.69,0,Website,Check-Out,2024-02-21,1,0
AL513865,Air India,2026,June,31,1,0,0,IND,263,,Economy,8937.54,1,Airport Counter,Canceled,2026-07-11,1,2
AL507076,Vistara,2025,July,11,1,0,0,GBR,315,,Economy,3518.92,0,Airport Counter,Check-Out,2025-07-16,1,2
AL501325,SpiceJet,2024,August,103,1,0,0,IND,154,,Business,22398.33,0,Travel Agent,Check-Out,2024-09-08,2,1
AL510413,Air India,2024,May,185,1,0,0,SGP,91,,Business,38996.76,0,Corporate Desk,Check-Out,2024-06-15,3,1
AL512710,SpiceJet,2024,May,39,1,0,0,IND,,,Business,41403.45,0,Airport Counter,Check-Out,2024-06-12,2,1
AL504057,IndiGo,2024,March,33,1,0,0,IND,44,,Economy,10093.9,1,Mobile App,Canceled,2024-03-28,0,2
AL508941,AirAsia India,2024,October,107,2,2,0,USA,,,Economy,5497.99,1,Corporate Desk,Canceled,2024-11-07,2,0
AL508697,SpiceJet,2026,January,15,1,0,0,IND,60,,Economy,11460.69,0,Corporate Desk,Check-Out,2026-01-30,0,0
AL505507,SpiceJet,2025,November,94,2,0,0,IND,240,,Business,27543.89,0,Website,Check-Out,2025-11-07,1,0
AL505231,Air India,2025,August,76,1,0,0,THA,141,,Economy,9907.87,0,Travel Agent,Check-Out,2025-09-21,3,1
AL513858,Akasa Air,2024,February,75,2,0,0,IND,156,,First,27626.31,0,Airport Counter,Check-Out,2024-03-16,3,0
AL504904,Akasa Air,2025,March,76,1,0,0,USA,314,,Economy,7501.62,1,Travel Agent,Canceled,2025-04-13,0,1
AL503881,IndiGo,2024,November,22,1,0,0,GBR,197,,Economy,9351.79,0,Travel Agent,Check-Out,2024-11-21,2,2
AL513868,IndiGo,2026,June,176,1,0,0,ARE,31,,Business,31432.38,0,Corporate Desk,Check-Out,2026-06-26,2,1
AL507003,Air India,2025,May,119,3,0,0,IND,78,,Business,NA,0,Website,Check-Out,2025-06-17,2,1
AL508952,AirAsia India,2026,October,107,2,0,0,IND,94,,Business,30479.85,0,Mobile App,Check-Out,2026-11-17,1,0
AL501732,Akasa Air,2025,September,114,1,1,1,MYS,48,,Economy,8047.54,0,Mobile App,Check-Out,2025-09-24,3,1
AL502732,Air India,2025,July,37,2,0,0,SGP,116,,Economy,9024.04,0,Corporate Desk,No-Show,2025-09-01,1,0
AL505977,Akasa Air,2026,July,106,2,0,0,ARE,82,,Economy,6449.93,0,Mobile App,Check-Out,2026-08-06,2,2
AL505325,Air India,2024,September,27,1,0,0,AUS,265,,Economy,8234.93,0,Mobile App,No-Show,2024-10-05,0,1
AL507992,SpiceJet,2026,November,80,2,0,0,LKA,,,Economy,4434.57,0,Website,Check-Out,2026-11-19,2,1
AL514896,Air India,2026,May,127,2,0,0,THA,323,,First,36005.64,0,Travel Agent,No-Show,2026-05-25,2,0
AL505237,Akasa Air,2025,September,45,1,3,0,THA,314,,Business,33239.47,0,Mobile App,Check-Out,2025-09-30,2,0
AL507932,SpiceJet,2026,May,173,1,0,0,GBR,185,,Economy,8013.3,1,Website,Canceled,2026-05-28,1,0
AL506999,SpiceJet,2025,February,90,2,0,0,ARE,135,,Business,27729.51,0,Travel Agent,Check-Out,2025-03-17,1,1
AL507545,Akasa Air,2026,March,33,1,0,0,GBR,85,,Economy,2795.85,0,Airport Counter,Check-Out,2026-04-09,1,2
AL511893,Air India,2026,November,57,2,0,0,IND,116,,Economy,5897.12,1,Airport Counter,Canceled,2026-12-14,1,2
AL506207,IndiGo,2025,February,112,1,0,0,QAT,256,,Economy,9246.59,0,Mobile App,Check-Out,2025-02-04,1,0
AL510745,Vistara,2024,October,60,2,0,0,USA,283,,Economy,6428.49,0,Corporate Desk,Check-Out,2024-11-05,3,2
AL507223,AirAsia India,2025,April,97,1,0,0,USA,9,,Economy,9654.94,0,Mobile App,No-Show,2025-04-07,2,0
AL514766,AirAsia India,2026,October,111,2,0,0,QAT,239,,Economy,6797.64,0,Website,Check-Out,2026-10-16,0,1
AL510415,SpiceJet,2024,March,16,2,0,0,LKA,104,,Economy,4655.7,0,Mobile App,Check-Out,2024-03-24,2,0
AL504289,AirAsia India,2026,September,157,2,0,0,IND,144,,Economy,8182.71,0,Airport Counter,Check-Out,2026-09-09,2,0
AL505285,AirAsia India,2025,December,18,2,0,0,IND,203,,Economy,9556.69,0,Website,Check-Out,2026-01-01,2,0
AL501247,AirAsia India,2026,May,83,1,0,0,QAT,,,First,56091.82,1,Mobile App,Canceled,2026-06-27,0,2
AL502318,IndiGo,2024,September,50,1,0,0,IND,259,,Economy,9277.14,0,Travel Agent,Check-Out,2024-09-14,3,0
AL508634,AirAsia India,2026,October,139,2,0,0,IND,242,,Premium Economy,12936.94,0,Mobile App,Check-Out,2026-10-23,0,1
AL513341,Vistara,2025,February,42,1,0,0,IND,328,,Economy,6770.07,0,Mobile App,Check-Out,2025-03-30,2,1
AL510528,SpiceJet,2025,May,20,1,0,0,USA,106,,Business,37614.49,0,Website,Check-Out,2025-06-02,2,0
AL515575,Air India,2026,May,63,1,0,1,IND,337,,Premium Economy,12604.18,0,Corporate Desk,Check-Out,2026-06-12,3,1
AL511076,Vistara,2024,July,62,1,0,0,USA,,,Economy,6532.97,0,Website,Check-Out,2024-08-17,3,0
AL501307,AirAsia India,2024,February,143,3,0,0,IND,159,,Economy,5054.06,0,Website,Check-Out,2024-03-01,1,2
AL511109,Air India,2025,March,99,4,NA,0,QAT,240,,Business,28722.4,0,Mobile App,Check-Out,2025-03-15,1,0
AL502517,IndiGo,2024,May,70,1,0,0,LKA,,,Premium Economy,14904.48,0,Travel Agent,Check-Out,2024-05-17,2,0
AL513660,Akasa Air,2025,September,6,1,0,0,ARE,183,,Economy,8084.87,0,Mobile App,Check-Out,2025-10-16,3,2
AL506129,IndiGo,2024,June,112,1,0,0,USA,290,,Economy,8074.19,0,Corporate Desk,Check-Out,2024-07-26,0,1
AL510769,IndiGo,2026,October,25,1,0,0,QAT,31,,Economy,8363.44,0,Website,Check-Out,2026-11-04,2,2
AL506103,AirAsia India,2025,July,105,1,1,0,MYS,288,,Premium Economy,15487.5,0,Airport Counter,Check-Out,2025-07-15,2,1
AL503987,AirAsia India,2025,June,50,2,0,0,IND,109,,Economy,7754.81,0,Airport Counter,Check-Out,2025-07-19,1,2
AL507150,Air India,2024,March,34,1,0,0,ARE,121,,Economy,6630.45,1,Corporate Desk,Canceled,2024-03-19,1,1
AL513032,AirAsia India,2024,January,65,1,0,0,ARE,92,,Economy,8455.51,0,Website,Check-Out,2024-01-12,0,0
AL503547,Akasa Air,2026,December,49,2,0,0,QAT,320,,Economy,8047.09,0,Mobile App,Check-Out,2027-01-03,1,1
AL503111,AirAsia India,2024,August,126,1,0,0,THA,194,,Economy,9471.5,0,Website,Check-Out,2024-08-29,3,1
AL502155,Vistara,2024,October,14,2,1,0,,95,,Business,27318.67,0,Corporate Desk,Check-Out,2024-11-03,3,0
AL506445,Vistara,2026,July,71,2,0,0,USA,,,Economy,6576.7,0,Airport Counter,Check-Out,2026-08-19,0,0
AL515808,Air India,2026,January,163,4,0,0,NPL,267,,Economy,9120.83,0,Mobile App,Check-Out,2026-02-11,3,0
AL512606,IndiGo,2025,June,33,1,0,0,,238,,Economy,6886.87,0,Mobile App,Check-Out,2025-07-07,3,1
AL504733,Air India,2026,April,69,2,0,0,IND,34,,Economy,2703.36,1,Mobile App,Canceled,2026-05-10,3,2
AL511994,Air India,2026,February,70,1,0,0,IND,39,,Economy,9419.48,0,Airport Counter,No-Show,2026-02-27,1,1
AL515842,Vistara,2026,August,33,2,0,0,USA,133,,Premium Economy,12339.65,0,Travel Agent,No-Show,2026-08-17,2,2
AL514542,AirAsia India,2025,May,48,1,NA,0,GBR,298,,Premium Economy,13485.9,0,Travel Agent,Check-Out,2025-06-16,1,0
AL509708,AirAsia India,2024,October,103,3,0,0,,193,,Economy,11916.46,1,Mobile App,Canceled,2024-10-24,0,1
AL514977,Vistara,2024,June,12,2,0,0,ARE,159,,Premium Economy,15190.17,0,Mobile App,Check-Out,2024-07-06,0,2
AL510376,Vistara,2026,September,85,1,NA,0,,,,Business,25205.54,1,Website,Canceled,2026-10-15,0,1
AL511880,Air India,2024,October,45,2,0,1,IND,99,,Economy,7530.82,1,Mobile App,Canceled,2024-11-12,3,2
AL503532,Vistara,2025,April,50,2,0,0,DEU,21,,Economy,7818.61,1,Airport Counter,Canceled,2025-04-10,0,2
AL502920,Akasa Air,2026,August,16,1,0,0,IND,255,,Economy,10435.11,0,Corporate Desk,Check-Out,2026-09-22,1,2
AL514807,Vistara,2025,November,108,1,0,0,GBR,236,,Economy,12465.58,0,Corporate Desk,Check-Out,2025-11-09,2,2
AL506965,Air India,2025,January,20,1,NA,0,USA,238,,Economy,9213.9,0,Airport Counter,Check-Out,2025-02-17,2,2
AL515585,Vistara,2024,January,122,4,0,0,THA,,,Economy,5596.9,1,Corporate Desk,Canceled,2024-01-20,1,1
AL504012,Vistara,2026,October,84,1,0,0,SGP,196,,Economy,9460.91,1,Airport Counter,Canceled,2026-11-15,2,0
AL512296,IndiGo,2024,November,99,1,0,0,,105,,Economy,8742.87,0,Corporate Desk,Check-Out,2024-12-12,3,2
AL511642,Akasa Air,2024,November,67,1,0,0,USA,203,C605,Premium Economy,14448.16,0,Mobile App,Check-Out,2024-11-29,1,2
AL506286,AirAsia India,2024,December,99,1,0,0,THA,223,C914,Business,20198.18,0,Corporate Desk,Check-Out,2024-12-25,0,0
AL513045,AirAsia India,2025,January,24,2,0,1,IND,39,,Economy,7617.8,0,Travel Agent,Check-Out,2025-02-18,2,2
AL510389,IndiGo,2025,April,11,1,0,0,IND,186,,Economy,5951.55,1,Mobile App,Canceled,2025-05-19,0,2
AL515130,SpiceJet,2026,June,39,2,2,0,IND,,,Premium Economy,9990.87,0,Website,Check-Out,2026-06-06,0,1
AL512240,Air India,2026,March,8,1,1,0,ARE,273,,Economy,6130.62,0,Website,Check-Out,2026-03-24,2,2
AL503457,Vistara,2025,December,57,2,0,0,MYS,94,,Economy,7045.15,0,Airport Counter,Check-Out,2025-12-29,3,1
AL511399,AirAsia India,2025,April,59,2,0,0,IND,333,,Economy,9635.82,1,Corporate Desk,Canceled,2025-05-27,0,1
AL505565,Air India,2024,June,2,1,0,0,GBR,145,,Economy,11239.05,0,Travel Agent,Check-Out,2024-06-01,3,0
AL507353,Akasa Air,2024,December,100,1,0,0,IND,74,,Economy,5339.85,0,Website,Check-Out,2025-01-24,2,0
AL514081,Akasa Air,2026,July,15,1,0,0,MYS,168,,Economy,9570.82,0,Website,Check-Out,2026-07-25,2,2
AL514522,Air India,2025,March,51,2,1,0,IND,282,,Economy,7950.84,0,Website,Check-Out,2025-03-27,0,0
AL507754,AirAsia India,2024,May,32,2,0,0,NPL,,,Premium Economy,12788.46,0,Website,Check-Out,2024-05-17,0,1
AL511842,Akasa Air,2025,April,13,2,1,0,IND,309,,Economy,9563.21,1,Mobile App,Canceled,2025-05-07,2,2
AL510847,Vistara,2025,November,150,1,0,0,SGP,256,,Premium Economy,NA,1,Travel Agent,Canceled,2025-11-17,0,0
AL513463,Akasa Air,2025,November,148,2,0,0,IND,218,,Economy,6214.34,1,Mobile App,Canceled,2025-11-28,2,2
AL514243,Akasa Air,2026,April,71,1,0,0,GBR,277,,Premium Economy,8300.62,0,Travel Agent,Check-Out,2026-05-31,3,1
AL507084,Air India,2025,December,67,1,0,0,ARE,319,C673,Business,30690.95,0,Corporate Desk,Check-Out,2026-01-13,2,0
AL501162,Vistara,2026,February,179,2,NA,0,IND,183,,Economy,8359.35,0,Airport Counter,Check-Out,2026-03-11,2,2
AL504235,IndiGo,2026,February,77,3,0,0,SGP,202,,Premium Economy,10505.91,0,Travel Agent,Check-Out,2026-03-22,2,0
AL514592,IndiGo,2025,June,62,2,,0,IND,183,,Economy,5579.96,0,Airport Counter,Check-Out,2025-07-28,2,1
AL503779,Akasa Air,2026,December,176,2,NA,0,USA,247,,Economy,9533.75,1,Travel Agent,Canceled,2027-01-23,2,2
AL509779,IndiGo,2025,September,72,3,0,0,AUS,5,,Economy,8389.99,1,Website,Canceled,2025-10-19,0,1
AL502668,IndiGo,2026,December,28,1,0,0,USA,329,,Economy,6286.74,0,Travel Agent,Check-Out,2026-12-29,3,2
AL502187,IndiGo,2024,September,99,1,0,0,IND,14,,Economy,7013.64,0,Website,Check-Out,2024-10-13,2,0
AL509641,Air India,2024,February,57,2,0,0,IND,186,,Premium Economy,11365.14,0,Travel Agent,Check-Out,2024-03-19,2,1
AL507352,SpiceJet,2024,July,96,1,0,0,DEU,276,,First,40843.91,0,Website,Check-Out,2024-08-09,3,1
AL501487,Akasa Air,2025,March,60,2,0,0,IND,210,,Economy,8551.01,0,Website,Check-Out,2025-04-15,0,1
AL514142,Akasa Air,2025,December,92,1,0,0,SGP,,,Economy,6988.54,0,Corporate Desk,Check-Out,2025-12-18,1,1
AL510590,Vistara,2025,January,49,1,0,0,AUS,266,,Economy,8505.97,0,Corporate Desk,Check-Out,2025-02-15,3,1
AL507916,Vistara,2025,May,113,2,NA,0,SGP,139,,Economy,6734.23,1,Corporate Desk,Canceled,2025-05-24,2,0
AL504193,Akasa Air,2024,January,69,1,0,0,ARE,92,,Economy,10622.11,1,Website,Canceled,2024-02-25,1,1
AL502748,IndiGo,2025,January,86,1,0,0,IND,262,,Economy,6704.89,0,Travel Agent,Check-Out,2025-02-06,3,0
AL507344,Akasa Air,2026,June,4,1,0,0,NPL,,,Business,35825.6,0,Airport Counter,Check-Out,2026-07-12,3,0
AL502052,SpiceJet,2026,February,80,2,0,0,DEU,180,,Business,28040.88,0,Mobile App,Check-Out,2026-03-14,0,2
AL507291,Air India,2025,November,93,1,0,0,IND,209,,Economy,5817.41,0,Airport Counter,Check-Out,2025-11-26,3,2
AL505136,IndiGo,2026,December,133,1,3,0,MYS,115,,First,41324.11,0,Corporate Desk,Check-Out,2026-12-27,1,0
AL500248,Air India,2025,July,76,2,0,0,IND,95,,Economy,6797.92,0,Travel Agent,Check-Out,2025-07-14,1,2
AL503708,IndiGo,2025,May,11,2,0,0,IND,53,,Economy,9541.17,0,Mobile App,No-Show,2025-06-04,3,2
AL512473,AirAsia India,2026,January,43,1,0,0,DEU,164,,Economy,5660.23,0,Travel Agent,Check-Out,2026-01-24,0,2
AL501505,Vistara,2025,August,29,1,0,1,MYS,91,,Business,33045.92,0,Website,Check-Out,2025-09-11,2,2
AL512488,Vistara,2026,April,105,2,0,0,SGP,51,,Economy,11783.14,0,Corporate Desk,Check-Out,2026-05-27,0,1
AL507803,AirAsia India,2024,October,153,4,0,0,IND,61,,Economy,7170.91,0,Corporate Desk,Check-Out,2024-11-14,2,1
AL505127,SpiceJet,2024,January,24,1,0,0,IND,290,,Economy,11021.84,0,Airport Counter,Check-Out,2024-01-29,3,2
AL502851,SpiceJet,2025,July,66,2,0,0,GBR,309,,Business,34804.81,0,Mobile App,Check-Out,2025-08-23,3,2
AL503018,Vistara,2026,December,13,1,0,0,IND,272,,Economy,3909.93,0,Corporate Desk,Check-Out,2026-12-23,2,0
AL514072,SpiceJet,2025,December,64,1,NA,0,IND,93,,Economy,6859.67,0,Travel Agent,Check-Out,2026-01-10,2,1
AL501966,IndiGo,2026,June,47,1,1,1,IND,44,,Economy,8498.61,0,Mobile App,Check-Out,2026-07-08,3,2
AL505443,Akasa Air,2026,February,70,2,0,0,USA,,,Business,27742.15,0,Website,Check-Out,2026-03-07,3,1
AL510107,AirAsia India,2024,February,82,2,0,0,GBR,335,,Economy,10284.91,0,Website,Check-Out,2024-03-04,0,0
AL512259,Vistara,2026,May,80,1,0,0,MYS,275,,Economy,8454.07,0,Corporate Desk,Check-Out,2026-06-14,1,2
AL506453,IndiGo,2025,November,16,1,0,0,IND,267,,Premium Economy,11734.77,0,Website,Check-Out,2025-12-17,0,2
AL501752,SpiceJet,2024,August,69,2,0,0,AUS,132,,Economy,6772.23,1,Website,Canceled,2024-08-06,0,0
AL506104,Vistara,2025,November,84,2,0,0,IND,94,,Economy,5860.0,0,Airport Counter,Check-Out,2025-11-10,0,1
AL513213,Akasa Air,2024,May,113,1,1,0,THA,170,,Business,9876.18,0,Corporate Desk,Check-Out,2024-05-30,0,0
AL508936,SpiceJet,2025,January,45,1,0,0,IND,101,,Economy,5369.86,0,Website,Check-Out,2025-02-22,3,2
AL505961,Air India,2026,June,34,1,NA,0,MYS,225,,Economy,5993.13,0,Website,Check-Out,2026-06-27,3,1
AL507757,Air India,2025,January,111,2,0,0,ARE,11,,Business,11370.38,0,Corporate Desk,No-Show,2025-01-10,3,2
AL502003,AirAsia India,2026,June,38,1,1,0,IND,110,,First,70780.99,0,Mobile App,Check-Out,2026-07-04,2,0
AL502676,IndiGo,2024,September,1,1,0,1,GBR,208,,First,22829.42,0,Travel Agent,Check-Out,2024-10-04,0,2
AL509297,IndiGo,2025,October,52,2,0,0,IND,,C348,Economy,8384.66,0,Website,Check-Out,2025-10-29,1,0
AL509534,AirAsia India,2026,November,93,1,0,0,NPL,170,,Economy,6504.49,0,Travel Agent,Check-Out,2026-11-18,1,1
AL512252,Air India,2025,November,46,1,0,0,IND,56,,Premium Economy,23341.59,0,Airport Counter,Check-Out,2025-11-16,3,0
AL501379,Vistara,2024,April,85,1,1,1,IND,245,,Economy,13997.39,0,Mobile App,No-Show,2024-05-11,3,0
AL505662,Air India,2024,November,38,2,0,1,ARE,311,,Economy,11707.45,0,Website,Check-Out,2024-11-21,2,2
AL500627,Air India,2024,July,97,1,0,1,AUS,142,,Economy,10597.41,0,Mobile App,Check-Out,2024-07-24,0,0
AL508790,Akasa Air,2026,June,159,1,0,0,DEU,,,Premium Economy,6168.15,0,Mobile App,Check-Out,2026-07-09,2,1
AL512079,Vistara,2025,April,88,2,0,0,IND,31,,Economy,10442.49,0,Corporate Desk,Check-Out,2025-05-18,0,2
